statistic_yyy,district_code,site_id,village,edu_age_15up_total,edu_doctor_graduated_m,edu_doctor_graduated_f,edu_doctor_ungraduated_m,edu_doctor_ungraduated_f,edu_master_graduated_m,edu_master_graduated_f,edu_master_ungraduated_m,edu_master_ungraduated_f,edu_university_graduated_m,edu_university_graduated_f,edu_university_ungraduated_m,edu_university_ungraduated_f,edu_juniorcollege_2ys_graduated_m,edu_juniorcollege_2ys_graduated_f,edu_juniorcollege_2ys_ungraduated_m,edu_juniorcollege_2ys_ungraduated_f,edu_juniorcollege_5ys_final2y_graduated_m,edu_juniorcollege_5ys_final2y_graduated_f,edu_juniorcollege_5ys_final2y_ungraduated_m,edu_juniorcollege_5ys_final2y_ungraduated_f,edu_senior_graduated_m,edu_senior_graduated_f,edu_senior_ungraduated_m,edu_senior_ungraduated_f,edu_seniorvocational_graduated_m,edu_seniorvocational_graduated_f,edu_seniorvocational_ungraduated_m,edu_seniorvocational_ungraduated_f,edu_juniorcollege_5ys_first3y_ungraduated_m,edu_juniorcollege_5ys_first3y_ungraduated_f,edu_junior_graduated_m,edu_junior_graduated_f,edu_junior_ungraduated_m,edu_junior_ungraduated_f,edu_juniorvocational_graduated_m,edu_juniorvocational_graduated_f,edu_juniorvocational_ungraduated_m,edu_juniorvocational_ungraduated_f,edu_primary_graduated_m,edu_primary_graduated_f,edu_primary_ungraduated_m,edu_primary_ungraduated_f,edu_selftaughtl_m,edu_selftaughtl_f,edu_illiterate_m,edu_illiterate_f
統計年,區域別代碼,區域別,村里名稱,總計,博畢_男,博畢_女,博肄_男,博肄_女,碩畢_男,碩畢_女,碩肄_男,碩肄_女,大畢_男,大畢_女,大肄_男,大肄_女,二畢_男,二畢_女,二肄_男,二肄_女,後二畢_男,後二畢_女,後二肄_男,後二肄_女,高畢_男,高畢_女,高肄_男,高肄_女,職畢_男,職畢_女,職肄_男,職肄_女,前三肄_男,前三肄_女,國畢_男,國畢_女,國肄_男,國肄_女,初畢_男,初畢_女,初肄_男,初肄_女,小畢_男,小畢_女,小肄_男,小肄_女,自修_男,自修_女,不識_男,不識_女
108,65000010001,新北市板橋區,留侯里,1441,5,1,2,2,51,31,9,6,159,168,54,48,38,32,7,3,47,34,0,0,72,58,16,19,105,139,21,12,4,4,44,75,7,9,12,37,0,0,26,71,2,6,0,2,0,3
108,65000010002,新北市板橋區,流芳里,1319,7,2,2,2,49,38,14,12,148,197,45,37,35,49,2,5,46,45,2,2,56,50,16,18,77,103,15,9,7,6,29,44,5,11,20,23,0,0,26,59,0,3,0,0,0,3
108,65000010003,新北市板橋區,赤松里,790,5,2,0,0,36,36,5,8,106,120,36,22,12,23,3,3,29,24,1,1,31,24,11,12,41,58,8,5,1,2,25,23,5,6,0,3,0,0,18,35,0,5,0,0,1,4
108,65000010004,新北市板橋區,黃石里,1012,4,2,3,0,27,44,2,4,122,128,43,18,28,39,3,5,27,19,1,0,45,54,27,18,75,83,7,10,4,3,34,36,2,7,1,1,0,0,25,54,0,4,0,0,1,2
108,65000010005,新北市板橋區,挹秀里,1703,16,5,5,2,88,65,19,17,229,264,57,38,54,62,14,7,75,50,1,5,54,66,24,21,102,132,19,17,0,2,35,55,9,7,1,0,0,0,20,53,5,4,0,1,1,2
108,65000010006,新北市板橋區,湳興里,4808,6,5,7,2,170,111,44,32,481,558,153,135,123,148,24,23,140,110,12,4,154,151,55,56,373,459,92,68,7,17,222,269,30,24,4,9,0,0,161,303,5,26,3,8,2,22
108,65000010007,新北市板橋區,新興里,2987,7,4,8,3,91,72,28,16,294,339,90,71,80,85,15,8,79,85,6,2,112,104,44,38,233,249,48,37,7,10,142,175,13,20,5,6,2,1,103,210,7,15,0,3,1,19
108,65000010008,新北市板橋區,社後里,8752,13,5,9,6,190,108,35,40,677,669,231,184,227,169,52,41,238,152,22,12,439,287,191,89,850,663,301,157,22,24,828,544,172,82,10,4,5,0,392,450,37,46,10,10,19,40
108,65000010009,新北市板橋區,香社里,3885,5,4,4,1,94,66,28,12,377,395,131,111,101,116,40,22,108,74,11,4,159,106,46,50,329,344,90,57,14,18,229,232,24,21,2,1,0,1,134,287,3,14,1,3,2,14
108,65000010010,新北市板橋區,中正里,3959,6,2,2,1,103,51,27,23,390,427,124,117,88,112,20,16,80,72,4,5,105,113,57,50,348,373,113,66,6,17,269,243,24,33,1,2,0,0,134,278,10,11,1,4,2,29
108,65000010011,新北市板橋區,自強里,4663,31,7,16,0,277,164,50,55,691,764,132,135,139,129,23,15,168,154,6,10,153,129,55,53,240,355,59,29,9,5,95,163,21,19,1,2,0,0,76,186,9,14,0,4,1,19
108,65000010012,新北市板橋區,自立里,2573,8,3,3,2,64,52,17,15,240,293,85,70,75,77,17,10,61,62,4,0,85,69,34,32,222,193,60,30,4,7,128,184,24,18,1,1,0,0,89,195,4,10,2,7,2,14
108,65000010013,新北市板橋區,光華里,2496,7,8,4,2,122,60,21,12,309,339,84,55,95,67,8,6,61,73,4,5,71,102,31,29,170,208,37,22,8,5,92,152,9,11,3,2,0,0,55,128,2,7,0,2,0,8
108,65000010014,新北市板橋區,國光里,3486,26,10,5,5,217,109,38,38,511,473,138,116,111,124,13,15,110,102,6,2,98,117,60,59,159,265,47,21,4,5,77,126,18,14,0,2,0,0,40,160,4,18,0,3,1,19
108,65000010015,新北市板橋區,港尾里,2598,7,1,8,3,111,87,24,19,297,370,95,74,74,81,8,9,84,86,3,2,80,80,40,41,166,204,44,36,4,12,95,111,15,12,0,1,1,0,57,131,2,9,1,2,1,10
108,65000010016,新北市板橋區,金華里,3634,6,0,3,1,81,56,24,19,345,378,102,111,111,115,36,14,78,67,9,1,102,117,57,45,295,276,84,55,7,11,218,264,25,23,1,4,2,3,144,280,8,22,5,0,2,27
108,65000010017,新北市板橋區,港德里,4383,11,2,7,2,120,70,31,25,388,449,145,104,115,132,21,23,95,94,7,3,118,134,74,34,360,358,103,78,12,17,259,258,39,41,5,4,3,0,184,369,9,30,2,9,6,33
108,65000010018,新北市板橋區,民權里,2428,8,5,6,2,101,51,20,13,303,301,69,75,85,67,11,9,66,56,2,3,69,96,28,34,183,200,32,15,5,10,76,125,8,13,7,5,0,0,62,166,4,16,2,7,1,11
108,65000010019,新北市板橋區,建國里,3246,9,1,4,1,92,48,26,13,300,388,96,78,107,100,19,13,74,60,8,7,110,108,29,42,241,251,73,45,5,15,195,195,23,21,2,2,2,0,127,255,9,23,1,5,3,20
108,65000010020,新北市板橋區,漢生里,3717,22,5,9,6,190,124,38,38,456,518,118,87,116,124,27,17,116,105,7,3,109,126,42,49,237,290,47,35,4,9,113,153,19,21,3,4,0,0,95,191,8,15,2,4,0,15
108,65000010021,新北市板橋區,公舘里,3428,7,2,8,3,105,68,25,24,346,366,132,116,86,103,23,18,105,77,11,6,98,106,52,43,255,293,75,46,12,13,173,189,21,12,3,7,0,1,122,215,10,13,1,7,4,26
108,65000010022,新北市板橋區,新民里,3829,8,4,9,3,169,91,27,29,463,473,112,100,109,137,12,15,106,105,6,7,136,127,59,60,246,317,47,39,15,22,168,206,18,27,5,3,0,0,98,194,6,23,2,9,1,16
108,65000010023,新北市板橋區,幸福里,3565,6,0,1,1,92,49,30,17,334,374,114,103,118,87,24,21,73,84,6,5,116,111,56,29,296,269,91,48,10,14,193,234,29,23,5,3,1,3,150,262,9,35,2,9,2,26
108,65000010024,新北市板橋區,忠誠里,3758,20,3,9,1,200,106,36,30,533,529,132,116,110,154,22,14,131,112,9,4,125,138,66,41,174,270,38,34,13,10,85,184,18,18,0,7,0,1,34,187,4,13,2,7,0,18
108,65000010025,新北市板橋區,百壽里,2408,6,4,4,2,96,63,20,17,232,312,77,71,68,89,10,16,67,59,6,4,93,81,40,42,133,191,45,20,2,9,99,153,15,17,1,2,0,0,70,153,4,6,0,2,1,6
108,65000010026,新北市板橋區,介壽里,2725,3,2,4,2,75,60,14,14,282,311,85,84,84,102,18,9,74,63,6,9,101,83,35,36,204,231,42,36,5,14,110,135,26,19,1,5,3,0,99,180,6,18,1,8,1,25
108,65000010027,新北市板橋區,新埔里,1940,6,2,2,1,61,64,16,16,210,219,69,44,65,60,8,9,66,47,2,5,62,64,28,21,133,145,25,25,8,6,80,118,14,14,3,0,0,0,67,129,6,7,2,3,1,7
108,65000010028,新北市板橋區,華江里,6482,27,18,8,6,391,263,69,58,782,1059,222,190,159,240,29,21,152,218,15,9,157,188,99,119,308,477,94,58,7,22,205,307,30,36,2,4,0,1,118,249,13,18,2,8,0,24
108,65000010029,新北市板橋區,江翠里,4581,14,5,12,2,159,112,34,24,421,519,160,123,129,127,33,16,103,83,10,5,126,122,77,58,385,388,123,72,9,12,247,281,23,30,2,5,3,0,169,271,7,30,0,8,4,38
108,65000010030,新北市板橋區,純翠里,4932,7,3,5,1,158,92,33,21,498,603,169,161,144,160,33,19,134,110,4,5,136,137,75,41,382,407,115,65,9,22,240,300,39,32,5,7,1,2,163,318,15,19,5,13,2,22
108,65000010031,新北市板橋區,溪頭里,5381,13,3,9,4,185,108,32,27,565,610,217,147,135,148,35,23,122,106,10,7,172,171,72,79,393,435,124,69,8,22,267,318,35,40,3,3,2,5,203,364,7,23,5,8,8,39
108,65000010032,新北市板橋區,聯翠里,3427,13,9,11,7,181,138,38,22,383,535,133,97,74,122,8,14,95,77,2,8,93,78,55,59,194,237,44,34,7,12,132,149,22,23,3,3,1,2,84,186,5,15,1,4,2,15
108,65000010033,新北市板橋區,宏翠里,4628,10,3,9,3,159,109,37,42,504,582,136,149,131,188,28,19,110,109,6,5,133,171,57,39,300,369,107,77,12,13,216,266,33,32,2,4,0,0,137,232,12,32,8,15,2,20
108,65000010034,新北市板橋區,仁翠里,2628,3,1,1,2,50,25,15,6,200,272,79,69,76,77,20,12,59,47,7,2,96,92,31,29,210,195,52,49,8,6,167,170,25,15,2,0,1,2,145,233,11,22,3,5,5,31
108,65000010035,新北市板橋區,新翠里,7287,28,8,19,5,296,188,53,60,807,957,290,267,192,273,45,38,172,171,14,11,253,264,115,102,458,519,130,92,17,26,303,381,36,30,10,10,2,7,201,336,18,32,3,14,3,31
108,65000010036,新北市板橋區,吉翠里,3392,4,2,0,0,69,34,18,8,294,360,99,112,98,88,20,7,58,67,10,4,118,96,48,38,259,294,108,75,10,18,216,241,30,30,4,4,1,1,156,219,14,23,0,9,1,27
108,65000010037,新北市板橋區,德翠里,6543,7,7,11,6,235,132,61,46,696,839,261,214,205,259,43,33,146,156,12,4,187,164,102,89,452,510,159,104,27,24,324,389,40,38,1,3,1,0,179,313,6,29,3,5,0,21
108,65000010038,新北市板橋區,滿翠里,2734,2,0,2,0,57,34,15,6,196,266,79,84,61,79,24,11,60,62,3,1,105,91,40,21,227,228,81,48,6,11,162,185,28,21,3,3,3,0,145,221,11,15,1,5,7,24
108,65000010039,新北市板橋區,明翠里,4391,8,3,3,1,133,84,24,24,439,461,132,114,119,121,26,25,117,87,7,5,125,150,75,66,340,332,82,56,10,18,256,304,32,30,3,4,2,0,168,320,13,37,4,3,2,26
108,65000010040,新北市板橋區,松翠里,3088,4,4,5,3,97,73,35,15,319,366,97,79,73,102,24,8,88,60,7,8,112,106,37,56,228,252,66,48,7,13,130,160,21,16,6,6,1,1,112,207,2,11,0,2,2,19
108,65000010041,新北市板橋區,柏翠里,4025,16,4,5,6,154,125,29,28,455,556,136,113,81,138,23,22,93,116,5,3,125,122,60,44,287,314,80,43,9,7,179,177,24,25,4,4,0,1,109,245,7,25,1,3,2,20
108,65000010042,新北市板橋區,龍翠里,4610,12,4,6,4,194,145,42,27,510,555,169,131,117,148,24,16,107,108,7,8,122,129,69,59,314,362,93,75,11,17,197,231,19,18,2,5,2,1,178,262,14,41,3,12,7,33
108,65000010043,新北市板橋區,華翠里,3189,8,7,3,1,142,92,31,20,356,408,109,110,61,107,14,8,84,74,6,4,99,105,43,49,237,247,63,39,3,12,140,163,11,18,1,10,0,2,82,168,3,21,0,4,1,23
108,65000010044,新北市板橋區,忠翠里,9414,53,23,27,7,609,421,117,97,1193,1479,354,352,212,368,40,37,238,295,23,13,207,300,181,160,427,646,117,92,14,27,250,343,46,45,8,7,1,1,161,312,17,41,1,8,7,37
108,65000010045,新北市板橋區,嵐翠里,2257,3,1,0,1,43,27,17,9,182,185,77,58,58,59,15,8,43,46,6,4,103,70,16,24,190,210,68,52,8,10,163,174,15,15,0,2,1,0,101,146,7,12,1,8,2,17
108,65000010046,新北市板橋區,文翠里,3728,7,2,4,1,122,62,25,27,386,450,132,126,88,110,23,17,97,75,13,4,114,123,52,35,273,310,73,32,11,9,186,206,24,24,7,3,1,0,158,251,6,18,1,8,4,28
108,65000010047,新北市板橋區,青翠里,2768,3,2,3,0,75,45,14,12,256,249,81,72,73,67,10,6,66,51,4,0,79,74,51,33,228,238,95,36,8,9,223,199,17,18,1,2,3,0,106,196,10,19,2,7,4,21
108,65000010048,新北市板橋區,懷翠里,5570,13,6,5,2,130,79,38,27,500,559,229,184,175,174,32,24,115,104,8,12,166,175,81,69,421,459,140,82,12,22,366,391,41,36,1,3,1,1,217,346,14,41,8,20,0,41
108,65000010049,新北市板橋區,福翠里,1211,2,1,1,0,20,14,5,5,110,110,33,39,29,26,13,7,31,24,2,3,59,54,13,7,98,102,34,17,0,3,83,77,6,9,1,1,1,1,61,90,1,8,0,2,1,7
108,65000010050,新北市板橋區,港嘴里,5542,16,5,6,0,168,100,45,30,606,644,190,134,147,176,39,21,141,110,10,8,146,156,87,67,431,477,120,72,13,14,287,352,42,38,5,5,2,1,193,354,12,28,1,15,4,24
108,65000010051,新北市板橋區,振興里,4101,3,1,3,1,95,64,22,11,377,405,136,106,122,117,15,21,88,76,9,5,171,133,65,54,357,333,88,54,10,12,237,283,37,34,1,3,0,1,154,301,6,30,4,7,7,42
108,65000010052,新北市板橋區,振義里,3906,5,2,5,3,95,50,21,19,333,350,133,120,95,106,16,25,107,76,8,4,122,133,61,48,336,339,112,54,6,21,239,226,35,27,6,3,5,0,171,277,11,33,1,13,5,49
108,65000010053,新北市板橋區,光復里,3090,9,1,6,3,103,65,22,23,280,327,112,88,94,97,17,10,76,91,9,6,98,95,41,38,238,256,96,49,8,16,179,127,22,19,3,5,1,0,125,185,10,13,3,2,1,21
108,65000010054,新北市板橋區,埔墘里,5805,18,5,8,1,172,123,40,26,609,715,210,184,152,165,34,28,173,133,12,7,160,199,86,72,412,515,118,63,12,21,291,336,38,46,4,3,6,2,178,332,9,34,2,10,2,39
108,65000010055,新北市板橋區,長壽里,2661,9,2,5,2,74,54,18,10,305,312,98,70,86,72,15,11,64,58,8,4,93,93,44,31,197,225,51,32,7,6,112,151,17,17,2,1,0,1,85,171,6,14,2,4,5,17
108,65000010056,新北市板橋區,福壽里,3080,8,4,3,1,123,63,25,11,367,349,117,86,75,90,25,9,85,67,5,5,125,109,46,61,195,242,56,36,6,6,154,184,15,16,2,2,0,1,93,162,5,15,2,10,2,17
108,65000010057,新北市板橋區,海山里,6842,18,13,17,3,315,207,60,50,733,897,275,255,176,249,33,23,152,174,13,5,206,221,131,123,417,543,121,72,23,33,231,335,45,46,6,8,0,0,192,331,15,32,1,7,4,31
108,65000010058,新北市板橋區,九如里,2591,5,1,2,2,56,30,24,17,241,295,106,77,63,72,9,7,49,58,6,3,98,92,42,33,214,221,61,52,3,7,133,132,26,20,2,1,1,1,83,180,8,20,1,5,4,28
108,65000010059,新北市板橋區,玉光里,4775,9,4,7,2,135,91,50,30,468,548,155,154,140,175,17,23,111,122,8,5,127,164,77,73,344,414,97,69,15,25,230,274,28,37,4,1,0,0,175,270,12,36,4,8,4,33
108,65000010060,新北市板橋區,光仁里,2600,5,0,0,0,79,52,14,20,256,311,82,82,80,83,11,12,63,62,9,3,78,82,47,30,198,207,59,33,3,11,129,139,19,11,2,3,0,1,106,180,9,13,0,4,1,11
108,65000010061,新北市板橋區,埤墘里,3936,11,4,8,3,149,115,22,23,379,520,137,111,112,142,20,14,95,99,8,7,121,91,64,36,284,300,83,47,10,15,192,244,21,20,3,1,1,3,125,229,5,20,5,12,4,21
108,65000010062,新北市板橋區,永安里,3113,10,0,1,1,109,62,24,14,317,368,87,89,89,96,25,15,73,66,4,4,83,104,36,46,228,235,77,46,11,11,154,166,31,13,1,3,3,0,126,215,12,20,1,7,0,30
108,65000010063,新北市板橋區,雙玉里,3684,5,4,3,1,99,71,32,28,290,378,120,102,102,128,17,25,94,78,14,6,106,110,58,87,282,313,110,54,6,15,215,221,22,30,3,3,0,1,139,235,8,20,1,9,3,36
108,65000010064,新北市板橋區,廣新里,3191,1,2,3,0,80,42,10,10,267,313,87,76,89,102,17,14,61,61,7,7,124,111,62,41,253,274,99,60,9,10,197,218,31,24,0,1,1,0,132,217,8,25,4,5,5,31
108,65000010065,新北市板橋區,深丘里,7470,39,15,21,6,440,321,102,67,1001,1174,265,245,211,286,29,35,230,226,15,10,179,205,140,123,383,532,92,60,18,17,201,251,40,51,4,4,2,0,122,246,13,24,2,4,2,17
108,65000010066,新北市板橋區,香丘里,3308,6,2,10,4,110,76,33,22,326,436,104,98,96,120,21,20,84,69,5,5,108,87,45,40,242,268,62,34,8,13,132,191,26,23,1,6,1,1,125,193,7,14,0,11,4,19
108,65000010067,新北市板橋區,西安里,2494,8,2,1,0,88,66,17,22,275,287,86,94,78,75,16,5,62,55,4,5,90,68,40,35,169,171,52,28,2,5,114,171,18,15,2,1,1,1,64,147,3,16,4,5,5,21
108,65000010068,新北市板橋區,東丘里,4153,12,0,4,5,135,91,35,28,399,466,129,124,107,152,31,16,108,79,3,7,124,130,71,58,306,327,86,57,11,25,197,215,39,31,9,7,3,1,160,287,12,23,0,10,2,31
108,65000010069,新北市板橋區,長安里,4014,17,2,4,7,157,119,44,30,430,524,149,125,135,140,22,17,93,91,3,7,104,122,86,67,291,366,72,40,10,15,137,212,19,22,2,4,0,0,118,157,7,19,1,3,1,23
108,65000010070,新北市板橋區,福丘里,4345,41,19,13,10,293,226,42,48,616,732,144,155,104,163,17,18,146,162,5,4,114,144,76,84,166,302,32,31,7,13,55,100,20,22,3,0,0,0,53,128,5,18,1,3,1,9
108,65000010071,新北市板橋區,福祿里,3504,18,1,6,4,119,111,33,37,371,462,124,102,107,129,16,10,91,77,4,4,101,116,63,42,240,285,60,39,6,7,134,191,16,32,3,3,0,0,104,180,4,24,4,5,1,18
108,65000010072,新北市板橋區,民族里,3951,23,7,7,1,199,133,54,32,506,563,127,106,124,181,21,16,125,113,7,6,77,95,60,54,265,287,45,53,14,16,105,130,18,26,2,1,0,1,105,198,5,21,1,3,3,15
108,65000010073,新北市板橋區,國泰里,3271,7,1,4,5,122,87,25,25,324,371,118,106,113,126,18,16,84,88,8,6,94,96,66,52,216,242,65,33,11,15,145,173,22,21,2,3,2,1,83,219,15,12,2,8,2,17
108,65000010074,新北市板橋區,福德里,4653,8,10,11,3,166,114,46,30,490,534,168,148,132,141,26,18,139,115,12,7,123,139,79,50,363,366,94,65,17,20,198,215,34,30,1,5,1,0,160,311,11,24,0,4,2,23
108,65000010075,新北市板橋區,景星里,3160,13,3,4,3,142,112,34,27,357,430,101,96,89,98,14,21,115,68,9,3,100,117,41,36,225,263,38,34,6,12,106,147,12,21,0,3,0,0,67,156,4,15,4,4,0,10
108,65000010076,新北市板橋區,福星里,3268,13,11,8,5,153,97,29,30,388,432,139,118,87,107,10,10,103,85,3,2,106,106,58,52,210,237,38,37,5,12,118,167,15,11,1,4,0,1,60,171,1,11,2,4,2,9
108,65000010077,新北市板橋區,鄉雲里,3511,16,5,7,5,123,88,37,35,416,447,123,105,98,148,24,12,90,102,2,1,108,115,67,45,224,269,40,35,7,9,143,174,12,21,4,3,2,0,93,211,5,18,0,1,4,17
108,65000010078,新北市板橋區,廣德里,6146,22,8,13,6,260,157,51,58,675,766,221,194,156,201,25,23,190,161,11,6,177,176,88,79,520,571,113,61,12,23,212,274,23,23,1,5,0,1,176,343,12,23,1,6,1,21
108,65000010079,新北市板橋區,大豐里,4270,7,1,4,3,142,72,35,18,428,516,156,136,139,152,23,18,128,96,10,7,113,115,60,63,360,364,80,55,15,15,189,218,19,23,4,3,0,1,137,296,7,24,2,4,0,12
108,65000010080,新北市板橋區,重慶里,7776,10,3,11,3,239,154,63,51,857,895,292,234,231,274,36,33,217,202,12,15,247,237,121,100,590,685,148,110,18,37,371,447,51,35,8,5,0,0,205,445,17,35,3,7,0,22
108,65000010081,新北市板橋區,仁愛里,2883,7,3,5,0,95,44,30,17,343,319,111,69,109,111,16,14,110,68,10,4,112,120,27,34,208,252,45,27,10,8,117,172,8,19,2,2,0,0,56,163,5,4,0,1,0,6
108,65000010082,新北市板橋區,和平里,3357,18,4,7,3,218,145,31,30,435,534,104,102,103,155,21,17,80,101,7,3,77,93,50,43,189,244,52,34,10,10,69,126,8,19,1,3,0,0,56,122,5,13,2,1,1,11
108,65000010083,新北市板橋區,廣福里,3703,12,1,1,0,115,60,26,19,332,389,114,124,117,139,29,17,86,91,7,7,119,117,65,58,305,323,79,63,5,13,207,217,26,21,3,3,2,2,118,200,10,30,3,5,2,21
108,65000010084,新北市板橋區,華興里,3923,15,1,4,1,142,74,27,24,407,495,135,134,123,118,29,16,104,95,9,6,113,114,59,39,287,347,88,55,11,20,163,209,24,23,5,3,1,0,111,229,7,15,1,13,2,25
108,65000010085,新北市板橋區,華貴里,2365,5,1,3,0,58,39,16,13,224,267,79,52,63,60,16,13,58,40,4,4,108,99,21,35,172,168,34,35,3,9,135,145,16,20,1,1,0,0,97,219,5,16,0,1,0,10
108,65000010086,新北市板橋區,華德里,6477,20,7,10,1,236,188,74,44,650,801,221,194,214,236,43,30,168,167,13,7,199,222,88,81,462,531,111,92,10,30,287,394,33,34,6,3,0,0,180,332,10,17,2,7,5,17
108,65000010087,新北市板橋區,華東里,7032,49,21,19,11,469,296,84,75,970,1093,239,247,185,215,33,26,246,218,14,6,173,203,104,91,332,479,82,69,8,15,188,257,31,28,4,2,4,0,125,273,7,16,1,8,1,15
108,65000010088,新北市板橋區,信義里,3927,3,2,2,2,116,76,18,21,383,412,121,101,96,120,29,14,105,87,5,2,114,134,48,35,364,322,92,56,10,17,236,215,18,24,2,1,0,0,141,309,14,22,3,9,2,24
108,65000010089,新北市板橋區,浮洲里,3552,5,1,4,0,74,37,23,15,307,356,115,87,98,83,19,15,47,46,12,4,127,120,49,48,309,280,99,63,5,14,276,245,21,18,2,3,1,2,168,241,24,28,3,11,2,45
108,65000010090,新北市板橋區,華中里,4807,1,0,3,0,91,48,24,18,400,474,153,130,114,112,32,15,72,69,12,6,145,139,52,50,504,414,132,86,10,23,374,374,42,33,4,0,3,3,211,336,12,43,5,11,2,25
108,65000010091,新北市板橋區,僑中里,3832,3,3,4,0,101,52,26,23,409,422,137,100,94,113,25,14,60,55,4,4,125,113,51,34,324,334,97,71,9,14,249,296,18,18,0,5,2,0,159,213,4,19,1,9,0,18
108,65000010092,新北市板橋區,中山里,6114,12,5,6,5,188,107,49,26,588,684,164,176,205,225,40,28,141,114,14,6,192,183,96,77,493,548,139,97,13,17,316,355,53,37,0,6,1,0,224,362,10,43,3,19,7,40
108,65000010093,新北市板橋區,復興里,937,2,0,0,0,13,6,8,4,84,69,17,17,30,16,3,4,20,6,0,1,59,25,15,6,83,63,28,8,3,2,85,51,13,7,2,0,0,0,95,60,4,6,5,4,7,6
108,65000010094,新北市板橋區,大安里,3628,8,0,1,0,61,41,15,25,304,353,118,89,104,90,23,20,78,59,7,4,130,95,46,35,332,288,87,52,12,17,263,244,32,33,2,4,0,2,181,301,11,27,2,5,2,25
108,65000010095,新北市板橋區,福安里,6245,14,4,12,3,253,130,47,44,779,841,166,183,245,283,38,26,143,150,10,7,171,234,91,84,439,505,107,74,12,16,214,318,39,30,3,4,1,0,138,303,10,28,4,7,1,34
108,65000010096,新北市板橋區,聚安里,4837,4,2,4,1,99,58,16,20,397,444,154,120,124,149,29,17,70,68,8,3,160,139,62,38,454,421,134,82,11,21,397,410,37,23,6,6,0,0,237,330,11,23,5,7,3,33
108,65000010097,新北市板橋區,龍安里,2573,4,1,4,0,47,30,14,12,184,256,79,62,66,76,19,14,37,29,5,1,75,73,36,32,240,209,66,53,3,6,191,162,20,18,3,1,0,0,122,241,15,24,3,8,5,27
108,65000010098,新北市板橋區,崑崙里,8873,8,5,8,3,211,131,81,49,786,961,379,346,288,300,73,40,185,189,8,10,350,351,144,131,767,791,197,140,19,25,463,494,50,58,5,5,3,2,238,457,18,35,6,19,4,40
108,65000010099,新北市板橋區,溪洲里,5387,7,4,5,1,120,92,45,15,479,568,178,164,144,151,29,20,104,104,12,4,216,156,81,76,452,474,117,110,10,13,368,406,21,29,5,3,2,0,183,342,10,33,2,6,2,24
108,65000010100,新北市板橋區,溪北里,3231,4,3,4,3,88,60,31,19,287,340,129,105,93,93,19,12,72,56,7,3,159,130,49,46,262,289,79,42,4,4,154,166,21,22,2,2,1,0,114,204,7,18,2,5,1,20
108,65000010101,新北市板橋區,香雅里,2336,3,1,1,0,75,43,14,10,238,263,71,51,62,59,13,6,63,45,5,3,86,74,30,33,170,189,47,30,6,6,130,149,18,16,2,0,0,0,106,183,3,7,0,8,3,14
108,65000010102,新北市板橋區,新生里,3923,4,2,4,2,121,63,28,20,419,470,127,90,96,127,19,17,88,49,6,1,139,125,49,37,283,299,81,49,8,16,244,245,30,30,1,1,2,2,166,293,7,28,4,8,2,21
108,65000010103,新北市板橋區,文德里,2827,14,5,3,1,110,68,24,20,324,317,106,89,90,98,21,15,69,75,7,5,106,81,39,54,197,213,50,36,12,13,100,133,14,14,1,4,0,0,88,174,4,7,0,7,5,14
108,65000010104,新北市板橋區,文化里,3085,12,4,7,7,114,94,30,23,318,405,111,98,72,102,14,10,77,74,11,2,89,71,43,38,218,208,62,38,12,12,155,141,16,22,2,0,2,0,108,208,6,20,0,6,0,23
108,65000010105,新北市板橋區,新海里,3199,3,1,2,0,68,35,18,18,312,303,108,78,71,75,31,20,50,40,3,3,120,109,42,30,269,261,96,52,4,10,226,308,25,28,0,1,2,1,143,185,7,17,2,7,1,14
108,65000010106,新北市板橋區,莒光里,2600,12,6,7,1,91,64,15,8,312,346,80,75,69,69,19,11,66,58,4,2,87,73,40,30,188,193,35,31,2,11,120,140,26,14,0,5,1,0,75,171,2,21,2,5,0,13
108,65000010107,新北市板橋區,富貴里,2088,6,3,1,3,90,52,24,13,258,288,79,65,52,56,7,13,74,62,5,0,53,54,22,29,138,170,34,36,3,4,76,75,12,7,2,6,1,1,62,128,6,8,0,5,0,5
108,65000010108,新北市板橋區,正泰里,2732,9,2,3,2,88,54,22,25,258,359,80,77,82,80,19,14,74,63,10,1,85,77,29,33,224,233,40,33,7,10,122,160,19,21,4,2,1,1,90,180,4,22,0,2,0,11
108,65000010109,新北市板橋區,民生里,1992,4,3,1,1,78,38,17,11,209,261,58,59,43,85,20,14,38,46,8,4,64,65,26,16,143,162,43,22,5,10,92,102,12,12,1,0,0,1,59,118,10,12,2,4,0,13
108,65000010110,新北市板橋區,後埔里,3394,14,8,8,3,189,105,39,30,428,416,118,103,105,139,14,12,105,96,8,5,103,105,43,37,229,278,48,32,6,14,110,129,16,16,1,4,1,1,65,174,2,21,0,4,0,10
108,65000010111,新北市板橋區,華福里,1902,6,0,2,2,66,46,11,9,204,241,60,54,47,40,8,7,68,39,5,6,55,61,24,18,164,173,30,16,4,9,83,112,15,9,2,1,0,1,61,116,5,14,0,3,0,5
108,65000010112,新北市板橋區,堂春里,3909,8,1,4,2,92,48,31,24,360,404,147,127,96,111,26,13,83,78,7,4,141,140,56,46,364,363,99,74,8,10,227,240,26,25,0,0,1,0,130,231,9,22,2,5,2,22
